barcode,length,width,height
3154148457206,20.0,16.0,1.3
3154148457213,22.0,20.0,1.5
3154148457251,22.5,23.0,2.0
3154148470106,19.0,13.8,1.5
3154148480105,17.5,14.0,1.0
3154148502111,12.0,4.5,0.3
3154148606246,23.5,3.0,22.0
3154148622420,8.5,1.0,20.5
3154148622529,20.0,8.5,0.6
3154148622543,20.0,17.0,0.8
3154148971184,36.0,13.0,0.5
3154149070015,27.5,5.0,21.0
3154149348008,20.5,8.0,10.0
3158870878834,25.0,19.5,1.0
31602815,10.0,10.0,0.5
31602921,37.0,12.0,1.0
31602976,12.0,2.5,17.5
31602983,15.0,12.0,2.0
31603003,19.3,9.0,1.0
31603010,14.5,12.0,0.8
31603058,3.0,3.0,3.5
31603126,12.0,0.3,24.5
31700115,9.5,9.0,2.0
31700750,25.5,1.0,4.0
31700978,25.5,1.0,4.0
31800983,25.0,12.5,2.5
31801072,26.0,26.0,50.0
31802369,18.0,14.0,2.0
31803571,39.5,6.5,1.5
31803939,27.0,27.0,10.0
31805698,50.0,2.5,2.5
31806138,11.5,10.0,1.5
31807463,32.0,19.5,1.5
31809009,31.0,9.0,2.0
31809030,18.0,7.5,1.0
31811842,16.0,14.0,8.0
31813778,23.0,15.0,2.5
31813921,40.0,17.0,6.0
31814195,17.0,12.0,5.5
31814256,40.0,15.0,3.0
31814522,25.0,25.0,1.5
31814799,24.0,13.0,5.0
31815253,42.0,25.0,4.0
31815659,19.5,17.5,2.0
31815758,24.0,15.0,0.5
31815925,17.0,12.0,6.0
31815932,13.0,12.0,3.0
31815970,13.5,12.0,1.5
31816168,7.5,7.5,13.5
31816595,17.0,12.0,4.5
31816618,25.0,11.5,1.5
31816984,21.5,10.0,1.5
31817004,48.0,12.0,1.5
31817677,19.0,15.0,2.0
31817721,19.5,14.0,0.5
31817882,6.0,4.0,0.5
31817905,29.0,21.5,2.5
31817974,18.0,10.0,2.0
31818049,35.8,27.0,1.5
31818230,24.0,24.0,0.5
